case_id,permeability_md,total_rate_mtpa,per_well_rate_mtpa,elapsed_days,cumulative_injected_mt,bottomhole_pressure_bar,bottomhole_delta_bar,pressure_100m_bar,delta_100m_bar,pressure_1000m_bar,delta_1000m_bar
baseline_medium_k,100.0,0.4,0.4,365.25,0.39999999999999997,261.4007967655493,1.4007967655492735,260.63209521057365,0.6320952105736524,260.37303315869036,0.3730331586903617
baseline_medium_k,100.0,0.8,0.8,365.25,0.7999999999999999,262.8015935310985,2.80159353109849,261.26419042114725,1.264190421147248,260.7460663173807,0.7460663173807234
baseline_medium_k,100.0,1.5,1.5,365.25,1.5,265.2529878708097,5.252987870809704,262.37035703965114,2.3703570396511395,261.3988743450888,1.3988743450888137
baseline_medium_k,100.0,2.5,2.5,365.25,2.5,268.75497978468286,8.75497978468286,263.9505950660852,3.9505950660852136,262.33145724181475,2.3314572418147463
baseline_medium_k,100.0,5.0,5.0,365.25,5.0,277.50995956936566,17.509959569365662,267.90119013217037,7.90119013217037,264.66291448362944,4.662914483629436
low_k,50.0,0.4,0.4,365.25,0.39999999999999997,262.7235956486086,2.7235956486085797,261.1861933732586,1.186193373258618,260.66815184916925,0.6681518491692486
low_k,50.0,0.8,0.8,365.25,0.7999999999999999,265.44719129721716,5.4471912972171594,262.3723867465172,2.3723867465171793,261.3363036983385,1.3363036983384973
low_k,50.0,1.5,1.5,365.25,1.5,270.2134836822822,10.213483682282174,264.44822514971975,4.448225149719747,262.5055694343847,2.505569434384711
low_k,50.0,2.5,2.5,365.25,2.5,277.0224728038036,17.022472803803623,267.41370858286626,7.413708582866263,264.1759490573079,4.175949057307889
low_k,50.0,5.0,5.0,365.25,5.0,294.04494560760725,34.04494560760725,274.82741716573247,14.82741716573247,268.3518981146158,8.351898114615778
high_k_sensitivity,500.0,0.4,0.4,365.25,0.39999999999999997,260.2982699005795,0.2982699005794984,260.1445295228161,0.14452952281607168,260.09271050383813,0.09271050383813417
high_k_sensitivity,500.0,0.8,0.8,365.25,0.7999999999999999,260.596539801159,0.5965398011589969,260.28905904563214,0.28905904563214335,260.18542100767627,0.18542100767626835
high_k_sensitivity,500.0,1.5,1.5,365.25,1.5,261.1185121271732,1.118512127173176,260.5419857105602,0.5419857105601977,260.34766438939306,0.34766438939306
high_k_sensitivity,500.0,2.5,2.5,365.25,2.5,261.8641868786219,1.864186878621922,260.90330951760035,0.9033095176003485,260.5794406489884,0.5794406489883954
high_k_sensitivity,500.0,5.0,5.0,365.25,5.0,263.72837375724384,3.728373757243844,261.80661903520075,1.8066190352007538,261.1588812979768,1.1588812979767908
