month,month_name,days,brevik_climatetrace_avg_emissions_t,brevik_shape_fraction,brevik_monthly_capture_t_from_shape,brevik_monthly_capture_t_after_hourly_interpolation,celsio_climatetrace_avg_emissions_t,celsio_shape_fraction,celsio_monthly_capture_t_from_shape,celsio_monthly_capture_t_after_hourly_interpolation,yara_sluiskil_climatetrace_avg_emissions_t,yara_sluiskil_shape_fraction,yara_sluiskil_monthly_capture_t_from_shape,yara_sluiskil_monthly_capture_t_after_hourly_interpolation,total_monthly_capture_t_after_hourly_interpolation
2026-01,jan,31,19557.4662,0.0693924912,27756.996469,27980.474777,,0.090032962,31511.536704,31511.536704,222679.6076,0.0847573796,67805.903677,67995.19748,127487.208961
2026-02,feb,28,18806.2206,0.0667269719,26690.788748,26870.026181,,0.0813200947,28462.033152,28462.033152,205435.1782,0.0781937222,62554.977777,62238.421338,117570.480671
2026-03,mar,31,23342.5546,0.0828224882,33128.99529,33420.873041,,0.090032962,31511.536704,31511.536704,222679.6076,0.0847573796,67805.903677,67995.273523,132927.683268
2026-04,apr,30,26759.216,0.0949452573,37978.102912,36213.954122,,0.0871286729,30495.03552,30495.03552,215614.3454,0.0820681656,65654.532506,65644.329257,132353.318899
2026-05,may,31,21609.1154,0.0766720154,30668.80616,33099.459979,,0.0900321055,31511.236938,31511.236938,222801.4904,0.0848037712,67843.016969,67837.036128,132447.733045
2026-06,jun,30,28189.703,0.1000208154,40008.326162,37830.739006,,0.0530953471,18583.371498,18583.371498,215614.3454,0.0820681656,65654.532506,65648.74464,122062.855144
2026-07,jul,31,23854.9122,0.0846404011,33856.160452,35320.97333,,0.0674843514,23619.52299,23619.52299,222801.4904,0.0848037712,67843.016969,67837.036128,126777.532448
2026-08,aug,31,26840.042,0.0952320387,38092.815471,37465.601245,,0.0865502249,30292.578729,30292.578729,222801.4904,0.0848037712,67843.016969,67837.036128,135595.216102
2026-09,sep,30,25540.3678,0.0906206218,36248.248705,36370.317957,,0.0871286729,30495.03552,30495.03552,215614.3454,0.0820681656,65654.532506,65648.74464,132514.098117
2026-10,oct,31,26762.7776,0.0949578943,37983.157724,36989.776038,,0.090032962,31511.536704,31511.536704,222801.4904,0.0848037712,67843.016969,67837.036128,136338.34887
2026-11,nov,30,21016.1008,0.0745679207,29827.168292,30301.516786,,0.0871286729,30495.03552,30495.03552,215614.3454,0.0820681656,65654.532506,65648.74464,126445.296946
2026-12,dec,31,19559.888,0.069401084,27760.433617,28136.287546,,0.090032962,31511.536704,31511.536704,222801.4904,0.0848037712,67843.016969,67832.39754,127480.22179
